dataset,algorithm,base_algorithm,ls_mode,runs,all_feasible,best_cost,mean_cost,median_cost,std_cost,best_gap_percent,mean_gap_percent,median_gap_percent,std_gap_percent,worst_gap_percent,mean_runtime_sec,std_runtime_sec,median_runtime_sec,mean_time_to_best_sec,std_time_to_best_sec,mean_iter_to_best,median_iter_to_best,mean_eval_to_best,max_capacity_violation_count,max_vehicle_violation_count,max_missing_count,max_duplicate_count
A-n45-k6,SSA,SSA,none,30,True,1650.0,1777.5666666666666,1777.0,65.84395520305266,74.78813559322033,88.30155367231639,88.24152542372882,6.9749952545606675,98.09322033898304,1.550016896666663,0.05322775303175648,1.5422556999999983,1.2915243699999943,0.25201858501049573,166.73333333333332,180.0,6639.933333333333,0.0,0.0,0.0,0.0
A-n45-k6,SSA,WOA,2opt_qualitybalanced_relocate,0,,,,,,,,,,,,,,,,,,,,,,
A-n45-k6,SSA,WOA,none,0,,,,,,,,,,,,,,,,,,,,,,
A-n45-k6,M-WOA,SSA,2opt_qualitybalanced_relocate,0,,,,,,,,,,,,,,,,,,,,,,
A-n45-k6,M-WOA,SSA,none,0,,,,,,,,,,,,,,,,,,,,,,
A-n45-k6,M-WOA,WOA,2opt_qualitybalanced_relocate,30,True,1006.0,1111.9666666666667,1107.5,71.58620717338827,6.567796610169491,17.793079096045197,17.31991525423729,7.5832846581979085,33.36864406779661,3.505049350000013,0.49106050565229725,3.4958541500000138,2.2834194333333433,1.0771050287594661,109.06666666666666,101.5,4341.166666666667,0.0,0.0,0.0,0.0
A-n45-k6,M-WOA,WOA,none,0,,,,,,,,,,,,,,,,,,,,,,
A-n45-k6,M-SSA,SSA,2opt_qualitybalanced_relocate,30,True,1142.0,1217.9666666666667,1228.0,48.99787703587763,20.97457627118644,29.021892655367232,30.084745762711865,5.190453075834498,40.889830508474574,5.220257769999989,0.13132923264803115,5.194451949999973,4.428510499999982,0.6513597429524118,170.43333333333334,172.5,6787.933333333333,0.0,0.0,0.0,0.0
A-n45-k6,M-SSA,SSA,none,0,,,,,,,,,,,,,,,,,,,,,,
A-n45-k6,M-SSA,WOA,2opt_qualitybalanced_relocate,0,,,,,,,,,,,,,,,,,,,,,,
A-n45-k6,M-SSA,WOA,none,0,,,,,,,,,,,,,,,,,,,,,,
A-n54-k7,WOA,SSA,2opt_qualitybalanced_relocate,0,,,,,,,,,,,,,,,,,,,,,,
A-n54-k7,WOA,SSA,none,0,,,,,,,,,,,,,,,,,,,,,,
A-n54-k7,WOA,WOA,2opt_qualitybalanced_relocate,0,,,,,,,,,,,,,,,,,,,,,,
