config_id,description,dataset,algorithm,base_algorithm,ls_mode,run,seed,pop_size,max_iter,known_best,best_score_with_penalty,cost_without_vehicle_penalty,gap_percent_without_vehicle_penalty,gap_percent_with_penalty,route_count,expected_vehicles,max_route_load,capacity,valid_core_solution,vehicle_count_valid,feasible_solution,vehicle_violation_count,missing_count,extra_count,duplicate_count,capacity_violation_count,runtime_sec,time_to_best_sec,iter_to_best,eval_to_best
FINAL_P3D_pop40_iter200_2opt_qualitybalanced_relocate,Final CPU configuration selected from pilot: quality-balanced memory-safe 2opt+bounded relocate,A-n32-k5,WOA,WOA,none,18,2044,40,200,784.0,1364.0,1364.0,73.9795918367347,73.9795918367347,5,5,96,100,True,True,True,0,0,0,0,0,0.19013100000000005,0.07358860000000034,73,2901
FINAL_P3D_pop40_iter200_2opt_qualitybalanced_relocate,Final CPU configuration selected from pilot: quality-balanced memory-safe 2opt+bounded relocate,A-n32-k5,WOA,WOA,none,19,2045,40,200,784.0,1381.0,1381.0,76.14795918367346,76.14795918367346,5,5,98,100,True,True,True,0,0,0,0,0,0.1880101000000005,0.026284700000000605,26,1009
FINAL_P3D_pop40_iter200_2opt_qualitybalanced_relocate,Final CPU configuration selected from pilot: quality-balanced memory-safe 2opt+bounded relocate,A-n32-k5,WOA,WOA,none,20,2046,40,200,784.0,1345.0,1345.0,71.5561224489796,71.5561224489796,5,5,100,100,True,True,True,0,0,0,0,0,0.18987709999999947,0.05496669999999959,56,2238
FINAL_P3D_pop40_iter200_2opt_qualitybalanced_relocate,Final CPU configuration selected from pilot: quality-balanced memory-safe 2opt+bounded relocate,A-n32-k5,WOA,WOA,none,21,2047,40,200,784.0,1351.0,1351.0,72.32142857142857,72.32142857142857,5,5,100,100,True,True,True,0,0,0,0,0,0.19169459999999994,0.09568200000000004,96,3835
FINAL_P3D_pop40_iter200_2opt_qualitybalanced_relocate,Final CPU configuration selected from pilot: quality-balanced memory-safe 2opt+bounded relocate,A-n32-k5,WOA,WOA,none,22,2048,40,200,784.0,1566.0,1566.0,99.74489795918367,99.74489795918367,5,5,95,100,True,True,True,0,0,0,0,0,0.19540500000000005,0.057784200000000396,51,2013
FINAL_P3D_pop40_iter200_2opt_qualitybalanced_relocate,Final CPU configuration selected from pilot: quality-balanced memory-safe 2opt+bounded relocate,A-n32-k5,WOA,WOA,none,23,2049,40,200,784.0,1506.0,1506.0,92.09183673469387,92.09183673469387,5,5,86,100,True,True,True,0,0,0,0,0,0.1888354999999997,0.0274991,27,1075
FINAL_P3D_pop40_iter200_2opt_qualitybalanced_relocate,Final CPU configuration selected from pilot: quality-balanced memory-safe 2opt+bounded relocate,A-n32-k5,WOA,WOA,none,24,2050,40,200,784.0,1372.0,1372.0,75.0,75.0,5,5,100,100,True,True,True,0,0,0,0,0,0.1838494000000006,0.03919650000000008,40,1573
FINAL_P3D_pop40_iter200_2opt_qualitybalanced_relocate,Final CPU configuration selected from pilot: quality-balanced memory-safe 2opt+bounded relocate,A-n32-k5,WOA,WOA,none,25,2051,40,200,784.0,1295.0,1295.0,65.17857142857143,65.17857142857143,5,5,95,100,True,True,True,0,0,0,0,0,0.1853473000000001,0.08097750000000037,84,3352
FINAL_P3D_pop40_iter200_2opt_qualitybalanced_relocate,Final CPU configuration selected from pilot: quality-balanced memory-safe 2opt+bounded relocate,A-n32-k5,WOA,WOA,none,26,2052,40,200,784.0,1555.0,1555.0,98.34183673469387,98.34183673469387,5,5,97,100,True,True,True,0,0,0,0,0,0.18408669999999994,0.0666525,70,2787
FINAL_P3D_pop40_iter200_2opt_qualitybalanced_relocate,Final CPU configuration selected from pilot: quality-balanced memory-safe 2opt+bounded relocate,A-n32-k5,WOA,WOA,none,27,2053,40,200,784.0,1338.0,1338.0,70.66326530612245,70.66326530612245,5,5,93,100,True,True,True,0,0,0,0,0,0.18582639999999984,0.03116669999999999,31,1204
