algorithm,stage,mean_seconds,mean_percent_of_runtime,std_percent_of_runtime
M-SSA,Relocate local search,6.397050712500647,53.15024349182977,18.337772490948215
M-SSA,2-opt local search,5.238680483333335,34.80555662806526,15.202896016229882
M-SSA,Vehicle repair,0.6024927958325881,6.871233496520777,10.100205489857776
M-SSA,Lamarckian write-back,0.16419532500009426,1.4685950163877812,0.483255693892728
M-SSA,Final cost evaluation,0.12199029166789292,1.1017868499432886,0.49260238827468245
M-SSA,Decode,0.09611287916603439,0.8628337738076924,0.32235811357104344
M-SSA,Position update,0.06284507083342279,0.5865673367626308,0.2875091256303816
M-SSA,Split,0.06594352083303197,0.5778994451220975,0.17153538590748182
M-SSA,Other,0.05640821666628959,0.5277961288558556,0.22521853344022388
M-SSA,Initialization,0.005435687499995605,0.04748783270484729,0.021061031539534154
M-WOA,Relocate local search,5.547249795833616,55.42911825319745,16.816262633333746
M-WOA,2-opt local search,3.517773970833632,33.42073431156684,14.035664433822859
M-WOA,Vehicle repair,0.36194784583337186,5.21521708378577,8.070649792230652
M-WOA,Lamarckian write-back,0.15163470416712266,1.701803753278,0.5123668508059069
M-WOA,Decode,0.08916875000008395,0.9963203052179058,0.32754380510051995
M-WOA,Position update,0.08343340000001605,0.9680078326866425,0.454195201387526
M-WOA,Final cost evaluation,0.08158022916613497,0.901454206094129,0.3245552800271395
M-WOA,Split,0.06316426249947461,0.7079688355243391,0.22485249077749092
M-WOA,Other,0.05111441249988313,0.5991858256399406,0.2378944493608391
M-WOA,Initialization,0.005534029166668314,0.06018959300898492,0.022599774910507093
SSA,Vehicle repair,0.5718219499998763,36.40359547375001,23.96058921387465
SSA,Lamarckian write-back,0.12685776666620519,17.701172093190007,7.462774057886575
SSA,Decode,0.09595453750018934,11.404735126034147,4.046595885924155
SSA,Final cost evaluation,0.09361107916654908,11.323408312121318,3.2500033091677913
SSA,Split,0.06248444166673948,9.186772995857973,4.303612668542341
SSA,Position update,0.06180556666664359,8.2727509768475,3.690793083881359
SSA,Other,0.03522078750046375,4.889896462463596,2.476702232721664
SSA,Initialization,0.005723033333330278,0.8176685597354498,0.36830869972070013
SSA,2-opt local search,0.0,0.0,0.0
SSA,Relocate local search,0.0,0.0,0.0
WOA,Vehicle repair,0.2884864458337284,28.231191130208163,21.385045580773646
WOA,Lamarckian write-back,0.12215592499983279,20.33650124073722,6.213366835290706
WOA,Position update,0.08682234166664383,14.115241685974924,5.309763242003174
WOA,Decode,0.07921551666631722,12.796076870152246,3.5427006476953147
WOA,Split,0.060631237499767766,10.406279716022533,3.700235290964494
WOA,Final cost evaluation,0.049593083333634276,7.619796087219412,2.509210292429572
WOA,Other,0.032692841666741086,5.517895283365601,2.128279299646198
WOA,Initialization,0.005782508333333966,0.9770179863198966,0.3906195505720787
WOA,2-opt local search,0.0,0.0,0.0
WOA,Relocate local search,0.0,0.0,0.0
