dataset,algorithm,base_algorithm,ls_mode,run,seed,pop_size,max_iter,known_best,best_score_with_penalty,cost_without_vehicle_penalty,gap_percent_without_vehicle_penalty,gap_percent_with_penalty,route_count,expected_vehicles,max_route_load,capacity,valid_core_solution,vehicle_count_valid,feasible_solution,vehicle_violation_count,missing_count,extra_count,duplicate_count,capacity_violation_count,runtime_sec,time_to_best_sec,iter_to_best,eval_to_best,profile_initialization_time,profile_decode_time,profile_split_time,profile_vehicle_repair_time,profile_two_opt_time,profile_relocate_time,profile_local_search_total_time,profile_cost_evaluation_time,profile_lamarckian_writeback_time,profile_position_update_time,profile_evaluation_total_time,profile_route_distance_calls,profile_evaluations,profile_other_time
A-n32-k5,M-SSA,SSA,2opt_qualitybalanced_relocate,2,5028,40,200,784.0,784.0,784.0,0.0,0.0,5,5,98,100,True,True,True,0,0,0,0,0,7.131313900000002,4.256853700000001,146,5802,0.0019519999999992876,0.058825600000240286,0.03682079999990506,0.028520299999840404,1.307434499999971,5.4548560999998905,6.810242200000058,0.04659869999997923,0.10808370000021483,0.04406519999997727,7.070728000000194,3118904,8000,0.04415699999998424
A-n32-k5,M-SSA,SSA,2opt_qualitybalanced_relocate,3,5029,40,200,784.0,784.0,784.0,0.0,0.0,5,5,98,100,True,True,True,0,0,0,0,0,9.829698099999998,2.0985076000000014,45,1778,0.004092400000001106,0.10548170000029344,0.058116599999930685,0.04231369999975598,2.1867607999995684,7.017894499999702,9.27730569999995,0.0750798000002959,0.1806864999998048,0.08810310000000854,9.714011900000113,3004025,8000,0.07116900000063708
A-n37-k6,WOA,WOA,none,1,102027,40,200,949.0,1264.0,1264.0,33.19283456269758,33.19283456269758,6,6,100,100,True,True,True,0,0,0,0,0,0.6692437999999967,0.4703381999999934,122,4848,0.004933999999998662,0.08831690000001657,0.05398870000062317,0.1860399000001678,0.0,0.0,0.19925190000015647,0.05535809999984309,0.12687050000002387,0.11333949999996662,0.5369912999999045,48007,8000,0.04039619999935695
A-n37-k6,WOA,WOA,none,2,102028,40,200,949.0,1285.0,1285.0,35.40569020021075,35.40569020021075,6,6,100,100,True,True,True,0,0,0,0,0,0.7066152000000017,0.4218338000000017,91,3630,0.005019900000000632,0.10015599999994151,0.05929749999996403,0.17368210000013562,0.0,0.0,0.18773770000041878,0.05471149999997493,0.13960159999972177,0.12891699999999418,0.5562043000002106,48008,8000,0.04522960000026899
A-n37-k6,WOA,WOA,none,3,102029,40,200,949.0,1215.0,1215.0,28.02950474183351,28.02950474183351,6,6,100,100,True,True,True,0,0,0,0,0,0.7493794000000022,0.48866869999999807,102,4080,0.005586399999998548,0.10364040000002461,0.06053429999983706,0.18965319999993113,0.0,0.0,0.20460690000034276,0.05955689999981928,0.1465496000001565,0.136560400000036,0.5900938999999497,48006,8000,0.04729820000019913
A-n37-k6,SSA,SSA,none,1,103027,40,200,949.0,1454.0,1454.0,53.21390937829294,53.21390937829294,6,6,99,100,True,True,True,0,0,0,0,0,1.0632883000000035,0.3605215000000044,50,1993,0.005067499999995562,0.10337630000017128,0.060820800000144004,0.5022697000000633,0.0,0.0,0.5181565000001669,0.10667510000000391,0.14923069999962735,0.08564369999999144,0.9542033999999262,48010,8000,0.05020450000000665
A-n37-k6,SSA,SSA,none,2,103028,40,200,949.0,1378.0,1378.0,45.205479452054796,45.205479452054796,6,6,100,100,True,True,True,0,0,0,0,0,2.989075900000003,2.1079480000000004,74,2950,0.005280399999996632,0.47786399999990437,0.08771040000001307,1.8744928999996233,0.0,0.0,1.8943006999997962,0.18448199999977533,0.19728630000022207,0.10065549999998069,2.861560799999836,48008,8000,0.06130440000048765
A-n37-k6,SSA,SSA,none,3,103029,40,200,949.0,1498.0,1498.0,57.85036880927292,57.85036880927292,6,6,100,100,True,True,True,0,0,0,0,0,0.9551602999999957,0.7348618999999985,128,5082,0.00557669999999888,0.10208649999987784,0.060727299999904005,0.4086409000001652,0.0,0.0,0.424254400000585,0.09539910000032137,0.14667999999970505,0.08753749999993943,0.8448088000001306,48006,8000,0.048512300000084
A-n37-k6,M-WOA,WOA,2opt_qualitybalanced_relocate,1,104027,40,200,949.0,977.0,977.0,2.9504741833508956,2.9504741833508956,6,6,100,100,True,True,True,0,0,0,0,0,8.307895100000003,0.44940559999999863,12,448,0.005188400000001536,0.10944890000035912,0.06175009999952863,0.47477149999971857,1.6945575000000446,5.512469000000152,7.713262000000022,0.08215809999996537,0.16694690000004186,0.13244780000000844,8.150328799999976,2646288,8000,0.06815690000018293
A-n37-k6,M-WOA,WOA,2opt_qualitybalanced_relocate,2,104028,40,200,949.0,966.0,966.0,1.791359325605901,1.791359325605901,6,6,100,100,True,True,True,0,0,0,0,0,7.983641999999996,3.063373900000002,80,3172,0.005011299999999608,0.10835989999978324,0.06243939999954762,0.31858010000050996,1.942204400000115,5.096556600000234,7.3884423999993984,0.08607649999981959,0.1661630999995154,0.13044300000001385,7.828256799999963,2982188,8000,0.06780770000045777
A-n37-k6,M-WOA,WOA,2opt_qualitybalanced_relocate,3,104029,40,200,949.0,1002.0,1002.0,5.584826132771338,5.584826132771338,6,6,100,100,True,True,True,0,0,0,0,0,6.8812884000000025,2.234626800000001,58,2309,0.005488600000006727,0.10696079999931385,0.06230469999948696,0.2855209999995907,1.5087271999995693,4.488108199999516,6.312291699999449,0.06630880000101058,0.16232419999968783,0.13061949999993772,6.726937799999845,2356775,8000,0.06492540000188285
A-n37-k6,M-SSA,SSA,2opt_qualitybalanced_relocate,1,105027,40,200,949.0,988.0,988.0,4.109589041095891,4.109589041095891,6,6,100,100,True,True,True,0,0,0,0,0,8.084306299999994,7.877167900000003,196,7804,0.005352599999994823,0.10957190000031858,0.0626203999999575,0.6643431000004654,2.24255500000055,4.538948000000033,7.47786219999972,0.13441500000048734,0.17001959999987548,0.08607620000000793,7.972081199999835,3051102,8000,0.070404499998304
A-n37-k6,M-SSA,SSA,2opt_qualitybalanced_relocate,2,105028,40,200,949.0,966.0,966.0,1.791359325605901,1.791359325605901,6,6,100,100,True,True,True,0,0,0,0,0,8.446920800000001,6.705612700000003,161,6401,0.004992700000002515,0.11333180000019638,0.06316259999971408,0.6459303000002308,2.222785300000055,4.931485500000235,7.833020700000205,0.12906440000006114,0.176564600001214,0.087771399999923,8.332584000000026,3035249,8000,0.07183219999836865
A-n37-k6,M-SSA,SSA,2opt_qualitybalanced_relocate,3,105029,40,200,949.0,1013.0,1013.0,6.743940990516333,6.743940990516333,6,6,100,100,True,True,True,0,0,0,0,0,8.263814699999998,7.93473569999999,193,7685,0.005046199999995338,0.11096849999992742,0.06247599999962006,0.7334335999989889,2.232155699999126,4.654946299999565,7.653152399999428,0.13522040000013646,0.17196060000041768,0.08670900000011272,8.151134800000335,3033589,8000,0.07089840000210756
A-n45-k6,WOA,WOA,none,1,202027,40,200,944.0,1539.0,1539.0,63.029661016949156,63.029661016949156,6,6,100,100,True,True,True,0,0,0,0,0,1.5248956999999876,1.1542677999999995,103,4118,0.0060643000000055736,0.10880519999979299,0.07059020000077965,0.9146031999996325,0.0,0.0,0.9302813000004733,0.08311639999972442,0.16177849999992588,0.13179800000017394,1.3705646999999601,48669,8000,0.04813989999995272
A-n45-k6,WOA,WOA,none,2,202028,40,200,944.0,1437.0,1437.0,52.22457627118644,52.22457627118644,6,6,100,100,True,True,True,0,0,0,0,0,1.6891719999999992,0.841795999999988,87,3473,0.0057132999999964795,0.10880300000003729,0.07038219999964213,1.0740652000005184,0.0,0.0,1.0902061999996278,0.08827520000042455,0.16089049999962413,0.13182370000001242,1.5345793999997994,48772,8000,0.049218899999743826
A-n45-k6,WOA,WOA,none,3,202029,40,200,944.0,1392.0,1392.0,47.45762711864407,47.45762711864407,6,6,100,100,True,True,True,0,0,0,0,0,1.5856389000000064,1.4449390999999991,159,6351,0.006261300000005576,0.10401880000016206,0.06780189999966524,1.0074993000002905,0.0,0.0,1.0225434000000746,0.07786730000094622,0.1528066999992319,0.1235207999999659,1.4407320000003097,48982,8000,0.04586279999973897
A-n45-k6,SSA,SSA,none,1,203027,40,200,944.0,1794.0,1794.0,90.04237288135593,90.04237288135593,6,6,100,100,True,True,True,0,0,0,0,0,2.8226504000000006,2.1461955999999986,151,6026,0.005708699999999567,0.10601339999938375,0.06975279999997497,2.19483540000013,0.0,0.0,2.2121103000000915,0.1515112999996262,0.15892409999953827,0.08419329999983916,2.715215600000775,49314,8000,0.05171140000150842
A-n45-k6,SSA,SSA,none,2,203028,40,200,944.0,1650.0,1650.0,74.78813559322033,74.78813559322033,6,6,100,100,True,True,True,0,0,0,0,0,2.7658382999999986,2.426309599999996,174,6921,0.0056861999999995305,0.10938350000060382,0.0698384000009753,2.1346197000004707,0.0,0.0,2.1523466999995406,0.14699759999975015,0.16194879999923728,0.08494770000010021,2.6574628000001894,49197,8000,0.05241639999886161
A-n45-k6,SSA,SSA,none,3,203029,40,200,944.0,1817.0,1817.0,92.47881355932203,92.47881355932203,6,6,100,100,True,True,True,0,0,0,0,0,2.9855473000000075,2.819074200000003,189,7558,0.0058111000000025115,0.11366559999966341,0.07254820000021311,2.3109399000007187,0.0,0.0,2.329175099999901,0.16207299999996394,0.1731438999993884,0.09179649999992989,2.8685201000004383,49299,8000,0.05556910000012749
A-n45-k6,M-WOA,WOA,2opt_qualitybalanced_relocate,1,204027,40,200,944.0,1117.0,1117.0,18.326271186440678,18.326271186440678,6,6,100,100,True,True,True,0,0,0,0,0,7.214814899999993,7.044423600000002,187,7453,0.006039999999998713,0.09700640000026794,0.06314180000020997,1.9242068999998878,2.3850327999998484,2.3274212999999975,6.665272900000446,0.08684559999970531,0.1587474000017295,0.1069289000000424,7.085367100000781,3694182,8000,0.059443799998305735
A-n45-k6,M-WOA,WOA,2opt_qualitybalanced_relocate,2,204028,40,200,944.0,1121.0,1121.0,18.75,18.75,6,6,100,100,True,True,True,0,0,0,0,0,3.099599600000005,1.8767689000000018,96,3822,0.00317619999999863,0.052127200000427365,0.042092099999919697,0.6705733000000578,1.2169910999997597,0.9002692000001673,2.8048081000010114,0.036038700000531776,0.0918438999990201,0.0517334999999548,3.035346099999046,2867217,8000,0.03475440000016761
A-n45-k6,M-WOA,WOA,2opt_qualitybalanced_relocate,3,204029,40,200,944.0,1037.0,1037.0,9.851694915254237,9.851694915254237,6,6,100,100,True,True,True,0,0,0,0,0,3.863963400000003,2.4063079999999957,99,3934,0.0027704999999969004,0.05400580000062405,0.04222889999991253,1.0849159000008086,1.4020287000007983,1.0468714999997957,3.5511104000004963,0.049514600000122755,0.09446730000004777,0.05073379999986116,3.8001868000002474,3173288,8000,0.03642639999803521
A-n45-k6,M-SSA,SSA,2opt_qualitybalanced_relocate,1,205027,40,200,944.0,1249.0,1249.0,32.309322033898304,32.309322033898304,6,6,100,100,True,True,True,0,0,0,0,0,5.596743799999999,4.347770300000008,156,6201,0.002697799999992867,0.058172099999382,0.04385950000018113,1.793534599999532,1.9372290999990298,1.486362599998813,5.236425900000157,0.0931128000001138,0.10508340000009753,0.03633139999988089,5.5458906000006465,4452183,8000,0.04036050000297564
A-n45-k6,M-SSA,SSA,2opt_qualitybalanced_relocate,2,205028,40,200,944.0,1192.0,1192.0,26.271186440677965,26.271186440677965,6,6,100,100,True,True,True,0,0,0,0,0,5.825152000000003,4.965676800000011,170,6779,0.0035609999999905995,0.058317000000187136,0.04408610000169233,1.8367485999982591,2.0164331000001994,1.588048299999656,5.460448300000763,0.0947455000024604,0.10658220000016172,0.03689780000027554,5.773670699999116,4424772,8000,0.03973239999712064
A-n45-k6,M-SSA,SSA,2opt_qualitybalanced_relocate,3,205029,40,200,944.0,1269.0,1269.0,34.42796610169491,34.42796610169491,6,6,100,100,True,True,True,0,0,0,0,0,8.872826900000007,8.609287300000005,196,7801,0.002758499999998776,0.10603630000105113,0.06480810000056181,2.8290980000022046,2.995975999999871,2.4080059000005463,8.263866800001267,0.14495869999910838,0.17909229999975196,0.07269980000017995,8.77423009999896,4471506,8000,0.06939329999673305
A-n54-k7,WOA,WOA,none,1,302027,40,200,1167.0,1941.0,1941.0,66.32390745501286,66.32390745501286,7,7,100,100,True,True,True,0,0,0,0,0,1.0007399000000134,0.7191940000000159,121,4809,0.007669399999997495,0.11372320000086233,0.0809871000003568,0.3746033000010698,0.0,0.0,0.39076529999903187,0.08133479999892756,0.16956490000012536,0.12695130000008703,0.8514439000003904,56007,8000,0.045905899998587074
A-n54-k7,WOA,WOA,none,2,302028,40,200,1167.0,2258.0,2258.0,93.48757497857756,93.48757497857756,7,7,100,100,True,True,True,0,0,0,0,0,0.851659699999999,0.5845324000000005,114,4532,0.00782010000000355,0.11366750000073012,0.08043260000061991,0.24228959999913968,0.0,0.0,0.25789250000011066,0.06130900000110273,0.17006849999913243,0.13135080000009225,0.6982001999996612,56007,8000,0.04472159999917835
A-n54-k7,WOA,WOA,none,3,302029,40,200,1167.0,1865.0,1865.0,59.811482433590406,59.811482433590406,7,7,100,100,True,True,True,0,0,0,0,0,0.8132504000000154,0.5475011999999992,108,4303,0.007813599999991538,0.11303390000185232,0.08027909999913163,0.2022201000003463,0.0,0.0,0.2176827999991815,0.07003949999884185,0.16822320000164837,0.1278432999997392,0.6638232000000528,56007,8000,0.04379769999846417
A-n54-k7,SSA,SSA,none,1,303027,40,200,1167.0,2290.0,2290.0,96.22964867180805,96.22964867180805,7,7,100,100,True,True,True,0,0,0,0,0,1.310793899999993,1.1318661999999904,155,6161,0.008022500000009813,0.10942749999910006,0.07907009999939874,0.687839799998244,0.0,0.0,0.7049066000014648,0.12850620000193658,0.1651807999988364,0.08642389999991451,1.2021482000006927,56007,8000,0.04632310000255302
A-n54-k7,SSA,SSA,none,2,303028,40,200,1167.0,2330.0,2330.0,99.65724078834619,99.65724078834619,7,7,100,100,True,True,True,0,0,0,0,0,1.371676199999996,0.6664682999999911,78,3111,0.007663900000011381,0.11552369999995449,0.08153150000109122,0.7289226000007716,0.0,0.0,0.7460172000016598,0.12599540000022103,0.17272649999924283,0.09125689999987685,1.2575848000006147,56007,8000,0.04805569999882664
A-n54-k7,SSA,SSA,none,3,303029,40,200,1167.0,2257.0,2257.0,93.40188517566409,93.40188517566409,7,7,100,100,True,True,True,0,0,0,0,0,1.3094976000000145,1.088131699999991,139,5521,0.008290200000004688,0.11608990000183894,0.08182939999846894,0.6647650999999257,0.0,0.0,0.6816333000006409,0.12509199999936982,0.17340519999865478,0.09283209999989595,1.1936784999987822,56007,8000,0.04719370000185563
A-n54-k7,M-WOA,WOA,2opt_qualitybalanced_relocate,1,304027,40,200,1167.0,1384.0,1384.0,18.594687232219364,18.594687232219364,7,7,100,100,True,True,True,0,0,0,0,0,10.68685640000001,4.577333500000009,71,2835,0.007652300000017931,0.09550599999872134,0.06493150000162018,0.4306913000000918,3.0510381999994536,6.62639310000003,10.134907600000645,0.10447089999894388,0.16520480000053794,0.08767430000014542,10.578181999998463,5391037,8000,0.053294000000448705
A-n54-k7,M-WOA,WOA,2opt_qualitybalanced_relocate,2,304028,40,200,1167.0,1332.0,1332.0,14.138817480719794,14.138817480719794,7,7,100,100,True,True,True,0,0,0,0,0,11.576113300000003,9.559388100000007,170,6796,0.00820579999998472,0.13146419999981163,0.08567579999859731,0.62364600000069,4.355286200000961,5.826645599999495,10.840211199999203,0.12336159999952656,0.21371590000171636,0.13535490000012373,11.412131400001186,5497467,8000,0.07275729999909686
A-n54-k7,M-WOA,WOA,2opt_qualitybalanced_relocate,3,304029,40,200,1167.0,1295.0,1295.0,10.968294772922022,10.968294772922022,7,7,100,100,True,True,True,0,0,0,0,0,12.65474260000002,1.57729980000002,29,1123,0.008320099999991726,0.1304323999995063,0.08529919999836011,0.6061055999958285,3.9892336000020236,7.30208209999941,11.934293299999382,0.11458669999927906,0.211631899999702,0.1326492999998834,12.4935703000005,5241238,8000,0.0744017000060353
A-n54-k7,M-SSA,SSA,2opt_qualitybalanced_relocate,1,305027,40,200,1167.0,1284.0,1284.0,10.025706940874036,10.025706940874036,7,7,100,100,True,True,True,0,0,0,0,0,12.989457399999992,11.277574299999998,183,7282,0.007705100000009679,0.13163680000039335,0.0849729000002526,0.9454755000014643,5.332861100000883,5.911786399999926,12.226049199998982,0.19133240000056162,0.21359599999982493,0.09460519999979056,12.86575279999849,6532763,8000,0.07548599999688577
A-n54-k7,M-SSA,SSA,2opt_qualitybalanced_relocate,2,305028,40,200,1167.0,1480.0,1480.0,26.820908311910884,26.820908311910884,7,7,100,100,True,True,True,0,0,0,0,0,10.583792499999987,9.840454299999976,186,7402,0.007663100000002032,0.12480529999962187,0.08311479999852622,0.9617424000012988,5.474364299999735,3.397066800000431,9.866506799999854,0.1752237000007142,0.19861740000013128,0.0897860000001458,10.467295000000945,6579602,8000,0.07140869999938104
A-n54-k7,M-SSA,SSA,2opt_qualitybalanced_relocate,3,305029,40,200,1167.0,1289.0,1289.0,10.454155955441303,10.454155955441303,7,7,100,100,True,True,True,0,0,0,0,0,13.054676900000004,12.898596099999992,199,7929,0.007967699999994693,0.12685100000106786,0.08396289999976148,0.940639799997399,5.0793689999987635,6.287086899998968,12.341322499999762,0.16456050000016376,0.2035662999986414,0.0894404000003135,12.937742099999525,6432450,8000,0.0712324000049307
A-n60-k9,WOA,WOA,none,1,402027,40,200,1354.0,2460.0,2460.0,81.68389955686854,81.68389955686854,9,9,100,100,True,True,True,0,0,0,0,0,0.6924445999999875,0.3177851000000089,73,2910,0.010174799999987272,0.11219710000122518,0.08479889999975398,0.08381950000139682,0.0,0.0,0.09982479999879956,0.06592350000065039,0.17161909999967406,0.12281830000000582,0.5483069999998804,72009,8000,0.041093399997294
A-n60-k9,WOA,WOA,none,2,402028,40,200,1354.0,2442.0,2442.0,80.35450516986707,80.35450516986707,9,9,98,100,True,True,True,0,0,0,0,0,0.8572498000000053,0.6743306999999845,148,5917,0.010247399999997242,0.1192420000007246,0.088259399999572,0.1866863999987345,0.0,0.0,0.20392980000085004,0.09837610000155905,0.1806340000004809,0.1280424000001119,0.7056515999998396,72009,8000,0.04576209999882508
A-n60-k9,WOA,WOA,none,3,402029,40,200,1354.0,2429.0,2429.0,79.3943870014771,79.3943870014771,9,9,100,100,True,True,True,0,0,0,0,0,0.8145022999999867,0.6039011999999957,127,5061,0.010190100000016855,0.11475029999877506,0.08598669999986441,0.18565140000026759,0.0,0.0,0.20188279999953807,0.07688250000046537,0.17437810000063791,0.12393249999993827,0.66856670000044,72009,8000,0.042730700000021216
A-n60-k9,SSA,SSA,none,1,403027,40,200,1354.0,2815.0,2815.0,107.90251107828657,107.90251107828657,9,9,100,100,True,True,True,0,0,0,0,0,0.9021536999999853,0.7372264999999913,134,5322,0.010156499999993684,0.11158960000159368,0.08493120000093768,0.2781040000012922,0.0,0.0,0.29454569999856517,0.1150149000002898,0.17120680000007837,0.0880751999998779,0.7919843000007063,72009,8000,0.04307549999592197
A-n60-k9,SSA,SSA,none,2,403028,40,200,1354.0,2644.0,2644.0,95.27326440177252,95.27326440177252,9,9,100,100,True,True,True,0,0,0,0,0,0.887847800000003,0.686156699999998,131,5203,0.010120300000011184,0.11327959999945847,0.08568280000093864,0.2564597999998455,0.0,0.0,0.2735565999996652,0.11734799999973689,0.17252200000089601,0.08896640000008915,0.7768011000010802,72009,8000,0.043468899999027144
A-n60-k9,SSA,SSA,none,3,403029,40,200,1354.0,2866.0,2866.0,111.66912850812407,111.66912850812407,9,9,100,100,True,True,True,0,0,0,0,0,0.9370392000000152,0.8572199000000182,173,6908,0.009704799999980196,0.121588300000667,0.08909049999925855,0.25889489999892135,0.0,0.0,0.2767286999995804,0.13485390000059283,0.1823409000005256,0.09380349999977966,0.8196370999992553,72009,8000,0.04676240000028997
A-n60-k9,M-WOA,WOA,2opt_qualitybalanced_relocate,1,404027,40,200,1354.0,1570.0,1570.0,15.952732644017726,15.952732644017726,9,9,100,100,True,True,True,0,0,0,0,0,13.289488199999994,4.9379750999999885,93,3702,0.009716599999990194,0.13359180000060178,0.09244020000090813,0.23335329999949295,3.0580704000017818,9.218420899998904,12.544505099999583,0.12316939999971055,0.2183664999993482,0.13175810000004162,13.129312499999259,4007099,8000,0.07060099999921476
A-n60-k9,M-WOA,WOA,2opt_qualitybalanced_relocate,2,404028,40,200,1354.0,1561.0,1561.0,15.288035450516986,15.288035450516986,9,9,100,100,True,True,True,0,0,0,0,0,14.573466300000007,11.982073200000002,170,6797,0.011263799999994717,0.14241999999967447,0.09603680000270742,0.2810630000009553,3.8368007999999065,9.604110100000725,13.760959400000047,0.1536541999990675,0.23647950000119522,0.13481820000006906,14.407872499999627,4616902,8000,0.07681989999571215
A-n60-k9,M-WOA,WOA,2opt_qualitybalanced_relocate,3,404029,40,200,1354.0,1472.0,1472.0,8.714918759231905,8.714918759231905,9,9,100,100,True,True,True,0,0,0,0,0,17.787523300000032,16.398773100000028,189,7550,0.00972010000000978,0.14228950000011764,0.09387929999962807,0.23577840000018568,3.6610809000025597,13.060549399999474,16.994263799997384,0.13657850000134886,0.23988519999792857,0.13114210000000526,17.625195299999064,4810413,8000,0.07661989999877505
A-n60-k9,M-SSA,SSA,2opt_qualitybalanced_relocate,1,405027,40,200,1354.0,1475.0,1475.0,8.936484490398819,8.936484490398819,9,9,100,100,True,True,True,0,0,0,0,0,15.280228099999988,10.937634099999968,163,6481,0.01047479999999723,0.14243599999787193,0.09506649999741512,0.3737792999949079,4.235562799995364,9.807725300005245,14.454373200000134,0.20394300000407384,0.23570519999776707,0.09792589999966594,15.150253100000725,5132228,8000,0.07760930000767985
A-n60-k9,M-SSA,SSA,2opt_qualitybalanced_relocate,2,405028,40,200,1354.0,1607.0,1607.0,18.685376661742986,18.685376661742986,9,9,99,100,True,True,True,0,0,0,0,0,13.306264199999987,7.929224900000008,134,5328,0.01015180000001692,0.13737450000104445,0.09517679999879647,0.38604230000015605,4.2817221000000245,7.791375599998673,12.498532399999135,0.20106909999822165,0.22889990000197713,0.09625870000047598,13.179144700001416,5128917,8000,0.07819340000060038
A-n60-k9,M-SSA,SSA,2opt_qualitybalanced_relocate,3,405029,40,200,1354.0,1512.0,1512.0,11.669128508124077,11.669128508124077,9,9,100,100,True,True,True,0,0,0,0,0,11.310756099999992,10.900301800000022,194,7721,0.010332799999957842,0.11880190000078983,0.08128749999690399,0.34712010000197324,3.6964742000035926,6.540402899998298,10.615590800000462,0.17480080000262888,0.19864389999963805,0.07931549999949539,11.205161500001282,5171795,8000,0.06357649999671366
A-n80-k10,WOA,WOA,none,1,502027,40,200,1763.0,3326.0,3326.0,88.65570051049347,88.65570051049347,10,10,100,100,True,True,True,0,0,0,0,0,0.5345293999999967,0.4050187000000278,140,5586,0.007219500000019252,0.06482789999984107,0.063236199997732,0.16909410000016578,0.0,0.0,0.1808603999986076,0.0490504999996233,0.10949740000199881,0.04823620000001938,0.4749227000004339,80010,8000,0.023367600000597122
