dataset,algorithm,run,seed,iteration,best_score_with_penalty
A-n32-k5,WOA,1,2027,133,1405.0
A-n32-k5,WOA,1,2027,134,1405.0
A-n32-k5,WOA,1,2027,135,1405.0
A-n32-k5,WOA,1,2027,136,1405.0
A-n32-k5,WOA,1,2027,137,1405.0
A-n32-k5,WOA,1,2027,138,1405.0
A-n32-k5,WOA,1,2027,139,1405.0
A-n32-k5,WOA,1,2027,140,1405.0
A-n32-k5,WOA,1,2027,141,1405.0
A-n32-k5,WOA,1,2027,142,1405.0
A-n32-k5,WOA,1,2027,143,1405.0
A-n32-k5,WOA,1,2027,144,1405.0
A-n32-k5,WOA,1,2027,145,1405.0
A-n32-k5,WOA,1,2027,146,1405.0
A-n32-k5,WOA,1,2027,147,1405.0
A-n32-k5,WOA,1,2027,148,1405.0
A-n32-k5,WOA,1,2027,149,1405.0
A-n32-k5,WOA,1,2027,150,1405.0
A-n32-k5,WOA,1,2027,151,1405.0
A-n32-k5,WOA,1,2027,152,1405.0
A-n32-k5,WOA,1,2027,153,1405.0
A-n32-k5,WOA,1,2027,154,1405.0
A-n32-k5,WOA,1,2027,155,1405.0
A-n32-k5,WOA,1,2027,156,1405.0
A-n32-k5,WOA,1,2027,157,1405.0
A-n32-k5,WOA,1,2027,158,1405.0
A-n32-k5,WOA,1,2027,159,1405.0
A-n32-k5,WOA,1,2027,160,1405.0
A-n32-k5,WOA,1,2027,161,1405.0
A-n32-k5,WOA,1,2027,162,1405.0
A-n32-k5,WOA,1,2027,163,1405.0
A-n32-k5,WOA,1,2027,164,1405.0
A-n32-k5,WOA,1,2027,165,1405.0
A-n32-k5,WOA,1,2027,166,1405.0
A-n32-k5,WOA,1,2027,167,1405.0
A-n32-k5,WOA,1,2027,168,1405.0
A-n32-k5,WOA,1,2027,169,1405.0
A-n32-k5,WOA,1,2027,170,1405.0
A-n32-k5,WOA,1,2027,171,1405.0
A-n32-k5,WOA,1,2027,172,1405.0
A-n32-k5,WOA,1,2027,173,1405.0
A-n32-k5,WOA,1,2027,174,1405.0
A-n32-k5,WOA,1,2027,175,1405.0
A-n32-k5,WOA,1,2027,176,1405.0
A-n32-k5,WOA,1,2027,177,1405.0
A-n32-k5,WOA,1,2027,178,1405.0
A-n32-k5,WOA,1,2027,179,1405.0
A-n32-k5,WOA,1,2027,180,1405.0
A-n32-k5,WOA,1,2027,181,1405.0
A-n32-k5,WOA,1,2027,182,1405.0
A-n32-k5,WOA,1,2027,183,1405.0
A-n32-k5,WOA,1,2027,184,1405.0
A-n32-k5,WOA,1,2027,185,1405.0
A-n32-k5,WOA,1,2027,186,1405.0
A-n32-k5,WOA,1,2027,187,1405.0
A-n32-k5,WOA,1,2027,188,1405.0
A-n32-k5,WOA,1,2027,189,1405.0
A-n32-k5,WOA,1,2027,190,1405.0
A-n32-k5,WOA,1,2027,191,1405.0
A-n32-k5,WOA,1,2027,192,1405.0
A-n32-k5,WOA,1,2027,193,1405.0
A-n32-k5,WOA,1,2027,194,1405.0
A-n32-k5,WOA,1,2027,195,1405.0
A-n32-k5,WOA,1,2027,196,1405.0
A-n32-k5,WOA,1,2027,197,1405.0
A-n32-k5,WOA,1,2027,198,1405.0
A-n32-k5,WOA,1,2027,199,1405.0
A-n32-k5,WOA,1,2027,200,1405.0
A-n32-k5,WOA,2,2028,1,1787.0
A-n32-k5,WOA,2,2028,2,1777.0
A-n32-k5,WOA,2,2028,3,1741.0
A-n32-k5,WOA,2,2028,4,1741.0
A-n32-k5,WOA,2,2028,5,1707.0
A-n32-k5,WOA,2,2028,6,1579.0
A-n32-k5,WOA,2,2028,7,1520.0
A-n32-k5,WOA,2,2028,8,1520.0
A-n32-k5,WOA,2,2028,9,1449.0
A-n32-k5,WOA,2,2028,10,1449.0
A-n32-k5,WOA,2,2028,11,1449.0
A-n32-k5,WOA,2,2028,12,1449.0
A-n32-k5,WOA,2,2028,13,1449.0
A-n32-k5,WOA,2,2028,14,1409.0
A-n32-k5,WOA,2,2028,15,1407.0
A-n32-k5,WOA,2,2028,16,1402.0
A-n32-k5,WOA,2,2028,17,1396.0
A-n32-k5,WOA,2,2028,18,1396.0
A-n32-k5,WOA,2,2028,19,1396.0
A-n32-k5,WOA,2,2028,20,1396.0
A-n32-k5,WOA,2,2028,21,1396.0
A-n32-k5,WOA,2,2028,22,1396.0
A-n32-k5,WOA,2,2028,23,1396.0
A-n32-k5,WOA,2,2028,24,1396.0
A-n32-k5,WOA,2,2028,25,1396.0
A-n32-k5,WOA,2,2028,26,1383.0
A-n32-k5,WOA,2,2028,27,1383.0
A-n32-k5,WOA,2,2028,28,1383.0
A-n32-k5,WOA,2,2028,29,1383.0
A-n32-k5,WOA,2,2028,30,1383.0
A-n32-k5,WOA,2,2028,31,1383.0
A-n32-k5,WOA,2,2028,32,1383.0
A-n32-k5,WOA,2,2028,33,1383.0
A-n32-k5,WOA,2,2028,34,1383.0
A-n32-k5,WOA,2,2028,35,1383.0
A-n32-k5,WOA,2,2028,36,1383.0
A-n32-k5,WOA,2,2028,37,1383.0
A-n32-k5,WOA,2,2028,38,1383.0
A-n32-k5,WOA,2,2028,39,1383.0
A-n32-k5,WOA,2,2028,40,1383.0
A-n32-k5,WOA,2,2028,41,1383.0
A-n32-k5,WOA,2,2028,42,1383.0
A-n32-k5,WOA,2,2028,43,1383.0
A-n32-k5,WOA,2,2028,44,1383.0
A-n32-k5,WOA,2,2028,45,1383.0
A-n32-k5,WOA,2,2028,46,1383.0
A-n32-k5,WOA,2,2028,47,1383.0
A-n32-k5,WOA,2,2028,48,1383.0
A-n32-k5,WOA,2,2028,49,1383.0
A-n32-k5,WOA,2,2028,50,1383.0
A-n32-k5,WOA,2,2028,51,1383.0
A-n32-k5,WOA,2,2028,52,1383.0
A-n32-k5,WOA,2,2028,53,1383.0
A-n32-k5,WOA,2,2028,54,1383.0
A-n32-k5,WOA,2,2028,55,1383.0
A-n32-k5,WOA,2,2028,56,1383.0
A-n32-k5,WOA,2,2028,57,1383.0
A-n32-k5,WOA,2,2028,58,1383.0
A-n32-k5,WOA,2,2028,59,1383.0
A-n32-k5,WOA,2,2028,60,1383.0
A-n32-k5,WOA,2,2028,61,1383.0
A-n32-k5,WOA,2,2028,62,1383.0
A-n32-k5,WOA,2,2028,63,1383.0
A-n32-k5,WOA,2,2028,64,1383.0
A-n32-k5,WOA,2,2028,65,1383.0
A-n32-k5,WOA,2,2028,66,1383.0
A-n32-k5,WOA,2,2028,67,1383.0
A-n32-k5,WOA,2,2028,68,1383.0
A-n32-k5,WOA,2,2028,69,1383.0
A-n32-k5,WOA,2,2028,70,1383.0
A-n32-k5,WOA,2,2028,71,1383.0
A-n32-k5,WOA,2,2028,72,1383.0
A-n32-k5,WOA,2,2028,73,1383.0
A-n32-k5,WOA,2,2028,74,1383.0
A-n32-k5,WOA,2,2028,75,1383.0
A-n32-k5,WOA,2,2028,76,1383.0
A-n32-k5,WOA,2,2028,77,1383.0
A-n32-k5,WOA,2,2028,78,1383.0
A-n32-k5,WOA,2,2028,79,1383.0
A-n32-k5,WOA,2,2028,80,1383.0
A-n32-k5,WOA,2,2028,81,1383.0
A-n32-k5,WOA,2,2028,82,1383.0
A-n32-k5,WOA,2,2028,83,1383.0
A-n32-k5,WOA,2,2028,84,1383.0
A-n32-k5,WOA,2,2028,85,1383.0
A-n32-k5,WOA,2,2028,86,1383.0
A-n32-k5,WOA,2,2028,87,1383.0
A-n32-k5,WOA,2,2028,88,1383.0
A-n32-k5,WOA,2,2028,89,1383.0
A-n32-k5,WOA,2,2028,90,1383.0
A-n32-k5,WOA,2,2028,91,1383.0
A-n32-k5,WOA,2,2028,92,1383.0
A-n32-k5,WOA,2,2028,93,1383.0
A-n32-k5,WOA,2,2028,94,1383.0
A-n32-k5,WOA,2,2028,95,1383.0
A-n32-k5,WOA,2,2028,96,1383.0
A-n32-k5,WOA,2,2028,97,1383.0
A-n32-k5,WOA,2,2028,98,1383.0
A-n32-k5,WOA,2,2028,99,1383.0
A-n32-k5,WOA,2,2028,100,1383.0
A-n32-k5,WOA,2,2028,101,1383.0
A-n32-k5,WOA,2,2028,102,1383.0
A-n32-k5,WOA,2,2028,103,1383.0
A-n32-k5,WOA,2,2028,104,1383.0
A-n32-k5,WOA,2,2028,105,1383.0
A-n32-k5,WOA,2,2028,106,1383.0
A-n32-k5,WOA,2,2028,107,1383.0
A-n32-k5,WOA,2,2028,108,1383.0
A-n32-k5,WOA,2,2028,109,1383.0
A-n32-k5,WOA,2,2028,110,1383.0
A-n32-k5,WOA,2,2028,111,1383.0
A-n32-k5,WOA,2,2028,112,1383.0
A-n32-k5,WOA,2,2028,113,1383.0
A-n32-k5,WOA,2,2028,114,1383.0
A-n32-k5,WOA,2,2028,115,1383.0
A-n32-k5,WOA,2,2028,116,1383.0
A-n32-k5,WOA,2,2028,117,1383.0
A-n32-k5,WOA,2,2028,118,1383.0
A-n32-k5,WOA,2,2028,119,1383.0
A-n32-k5,WOA,2,2028,120,1383.0
A-n32-k5,WOA,2,2028,121,1383.0
A-n32-k5,WOA,2,2028,122,1383.0
A-n32-k5,WOA,2,2028,123,1383.0
A-n32-k5,WOA,2,2028,124,1383.0
A-n32-k5,WOA,2,2028,125,1383.0
A-n32-k5,WOA,2,2028,126,1383.0
A-n32-k5,WOA,2,2028,127,1383.0
A-n32-k5,WOA,2,2028,128,1383.0
A-n32-k5,WOA,2,2028,129,1383.0
A-n32-k5,WOA,2,2028,130,1383.0
A-n32-k5,WOA,2,2028,131,1383.0
A-n32-k5,WOA,2,2028,132,1383.0
A-n32-k5,WOA,2,2028,133,1383.0
A-n32-k5,WOA,2,2028,134,1383.0
A-n32-k5,WOA,2,2028,135,1383.0
A-n32-k5,WOA,2,2028,136,1383.0
A-n32-k5,WOA,2,2028,137,1383.0
A-n32-k5,WOA,2,2028,138,1383.0
A-n32-k5,WOA,2,2028,139,1383.0
A-n32-k5,WOA,2,2028,140,1383.0
A-n32-k5,WOA,2,2028,141,1383.0
A-n32-k5,WOA,2,2028,142,1383.0
A-n32-k5,WOA,2,2028,143,1383.0
A-n32-k5,WOA,2,2028,144,1383.0
A-n32-k5,WOA,2,2028,145,1383.0
A-n32-k5,WOA,2,2028,146,1383.0
A-n32-k5,WOA,2,2028,147,1383.0
A-n32-k5,WOA,2,2028,148,1383.0
A-n32-k5,WOA,2,2028,149,1383.0
A-n32-k5,WOA,2,2028,150,1383.0
A-n32-k5,WOA,2,2028,151,1383.0
A-n32-k5,WOA,2,2028,152,1383.0
A-n32-k5,WOA,2,2028,153,1383.0
A-n32-k5,WOA,2,2028,154,1383.0
A-n32-k5,WOA,2,2028,155,1383.0
A-n32-k5,WOA,2,2028,156,1383.0
A-n32-k5,WOA,2,2028,157,1383.0
A-n32-k5,WOA,2,2028,158,1383.0
A-n32-k5,WOA,2,2028,159,1383.0
A-n32-k5,WOA,2,2028,160,1383.0
A-n32-k5,WOA,2,2028,161,1383.0
A-n32-k5,WOA,2,2028,162,1383.0
A-n32-k5,WOA,2,2028,163,1383.0
A-n32-k5,WOA,2,2028,164,1383.0
A-n32-k5,WOA,2,2028,165,1383.0
A-n32-k5,WOA,2,2028,166,1383.0
A-n32-k5,WOA,2,2028,167,1383.0
A-n32-k5,WOA,2,2028,168,1383.0
A-n32-k5,WOA,2,2028,169,1383.0
A-n32-k5,WOA,2,2028,170,1383.0
A-n32-k5,WOA,2,2028,171,1383.0
A-n32-k5,WOA,2,2028,172,1383.0
A-n32-k5,WOA,2,2028,173,1383.0
A-n32-k5,WOA,2,2028,174,1383.0
A-n32-k5,WOA,2,2028,175,1383.0
A-n32-k5,WOA,2,2028,176,1383.0
A-n32-k5,WOA,2,2028,177,1383.0
A-n32-k5,WOA,2,2028,178,1383.0
A-n32-k5,WOA,2,2028,179,1383.0
A-n32-k5,WOA,2,2028,180,1383.0
A-n32-k5,WOA,2,2028,181,1383.0
A-n32-k5,WOA,2,2028,182,1383.0
A-n32-k5,WOA,2,2028,183,1383.0
A-n32-k5,WOA,2,2028,184,1383.0
A-n32-k5,WOA,2,2028,185,1383.0
A-n32-k5,WOA,2,2028,186,1383.0
A-n32-k5,WOA,2,2028,187,1383.0
A-n32-k5,WOA,2,2028,188,1383.0
A-n32-k5,WOA,2,2028,189,1383.0
A-n32-k5,WOA,2,2028,190,1383.0
A-n32-k5,WOA,2,2028,191,1383.0
A-n32-k5,WOA,2,2028,192,1383.0
A-n32-k5,WOA,2,2028,193,1383.0
A-n32-k5,WOA,2,2028,194,1383.0
A-n32-k5,WOA,2,2028,195,1383.0
A-n32-k5,WOA,2,2028,196,1383.0
A-n32-k5,WOA,2,2028,197,1383.0
A-n32-k5,WOA,2,2028,198,1383.0
A-n32-k5,WOA,2,2028,199,1383.0
A-n32-k5,WOA,2,2028,200,1383.0
A-n32-k5,WOA,3,2029,1,1832.0
A-n32-k5,WOA,3,2029,2,1767.0
A-n32-k5,WOA,3,2029,3,1762.0
A-n32-k5,WOA,3,2029,4,1627.0
A-n32-k5,WOA,3,2029,5,1627.0
A-n32-k5,WOA,3,2029,6,1585.0
A-n32-k5,WOA,3,2029,7,1545.0
A-n32-k5,WOA,3,2029,8,1468.0
A-n32-k5,WOA,3,2029,9,1456.0
A-n32-k5,WOA,3,2029,10,1456.0
A-n32-k5,WOA,3,2029,11,1450.0
A-n32-k5,WOA,3,2029,12,1446.0
A-n32-k5,WOA,3,2029,13,1292.0
A-n32-k5,WOA,3,2029,14,1291.0
A-n32-k5,WOA,3,2029,15,1291.0
A-n32-k5,WOA,3,2029,16,1291.0
A-n32-k5,WOA,3,2029,17,1291.0
A-n32-k5,WOA,3,2029,18,1291.0
A-n32-k5,WOA,3,2029,19,1291.0
A-n32-k5,WOA,3,2029,20,1288.0
A-n32-k5,WOA,3,2029,21,1242.0
A-n32-k5,WOA,3,2029,22,1234.0
A-n32-k5,WOA,3,2029,23,1234.0
A-n32-k5,WOA,3,2029,24,1234.0
A-n32-k5,WOA,3,2029,25,1234.0
A-n32-k5,WOA,3,2029,26,1234.0
A-n32-k5,WOA,3,2029,27,1234.0
A-n32-k5,WOA,3,2029,28,1234.0
A-n32-k5,WOA,3,2029,29,1234.0
A-n32-k5,WOA,3,2029,30,1234.0
A-n32-k5,WOA,3,2029,31,1234.0
A-n32-k5,WOA,3,2029,32,1234.0
A-n32-k5,WOA,3,2029,33,1227.0
A-n32-k5,WOA,3,2029,34,1202.0
A-n32-k5,WOA,3,2029,35,1202.0
A-n32-k5,WOA,3,2029,36,1202.0
A-n32-k5,WOA,3,2029,37,1202.0
A-n32-k5,WOA,3,2029,38,1202.0
A-n32-k5,WOA,3,2029,39,1202.0
A-n32-k5,WOA,3,2029,40,1202.0
A-n32-k5,WOA,3,2029,41,1202.0
A-n32-k5,WOA,3,2029,42,1202.0
A-n32-k5,WOA,3,2029,43,1202.0
A-n32-k5,WOA,3,2029,44,1202.0
A-n32-k5,WOA,3,2029,45,1202.0
A-n32-k5,WOA,3,2029,46,1202.0
A-n32-k5,WOA,3,2029,47,1202.0
A-n32-k5,WOA,3,2029,48,1202.0
A-n32-k5,WOA,3,2029,49,1202.0
